name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
South Farmer Avenue,0,5590090,378,1,,76.11496408194813,1,29,,residential,6,"LINESTRING (-111.9442627 33.4302, -111.9442601 33.4299032, -111.9442568 33.4295279, -111.9442567 33.4295155)",auto,1
South Farmer Avenue,1,5590090,1,378,,76.11496408194813,1,29,,residential,6,"LINESTRING (-111.9442567 33.4295155, -111.9442568 33.4295279, -111.9442601 33.4299032, -111.9442627 33.4302)",auto,1
East 6th Street,2,5591077,14,92,,6.488351988946678,1,29,,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.930412 33.4231839)",auto,1
East 6th Street,3,5591077,92,14,,6.488351988946678,1,29,,residential,6,"LINESTRING (-111.930412 33.4231839, -111.9304264 33.4231268)",auto,1
East 6th Street,4,5591077,92,105,,4.9859055803012176,1,29,,residential,6,"LINESTRING (-111.930412 33.4231839, -111.9304005 33.4232277)",auto,1
East 6th Street,5,5591077,105,92,,4.9859055803012176,1,29,,residential,6,"LINESTRING (-111.9304005 33.4232277, -111.930412 33.4231839)",auto,1
East 6th Street,6,5591077,105,15,,191.81632130961611,1,29,,residential,6,"LINESTRING (-111.9304005 33.4232277, -111.9303882 33.423295, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.930243 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.929686 33.4241011, -111.929663 33.424109, -111.9292198 33.4242567, -111.9290798 33.4242989)",auto,1
East 6th Street,7,5591077,15,105,,191.81632130961606,1,29,,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.929663 33.424109, -111.929686 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.930243 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.423295, -111.9304005 33.4232277)",auto,1
West 6th Street,8,5591085,191,17,,110.24437940829239,1,25,,residential,6,"LINESTRING (-111.9412665 33.4243385, -111.9407083 33.4243409, -111.9400786 33.4243437)",auto,1
West 6th Street,9,5591085,17,191,,110.24437940829239,1,25,,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409, -111.9412665 33.4243385)",auto,1
East 6th Street,10,5591100,148,19,,89.78103656718528,1,25,,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581, -111.9373581 33.4243583, -111.9367572 33.424359, -111.936666 33.4243591)",auto,1
East 6th Street,11,5591100,19,148,,89.78103656718528,1,25,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9367572 33.424359, -111.9373581 33.4243583, -111.9375509 33.4243581, -111.9376334 33.4243567)",auto,1
East 6th Street,12,5591100,19,73,,156.80956303232696,1,25,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9365605 33.4243597, -111.9362338 33.4243617, -111.9358561 33.4243639, -111.9355078 33.424366, -111.9353948 33.4243414, -111.9353091 33.4243324, -111.9350964 33.4243366, -111.9349809 33.4243346)",auto,1
East 6th Street,13,5591100,73,19,,156.80956303232696,1,25,,residential,6,"LINESTRING (-111.9349809 33.4243346, -111.9350964 33.4243366, -111.9353091 33.4243324, -111.9353948 33.4243414, -111.9355078 33.424366, -111.9358561 33.4243639, -111.9362338 33.4243617, -111.9365605 33.4243597, -111.936666 33.4243591)",auto,1
South Maple Avenue,14,5591429,20,354,,156.613807879672,1,29,,residential,6,"LINESTRING (-111.9412608 33.4219305, -111.9412432 33.4213251, -111.9412418 33.4212879, -111.9412404 33.4212296, -111.9412399 33.4211998, -111.9412309 33.4205714, -111.94123 33.4205223)",auto,1
