first_column,path_no,o_zone_id,d_zone_id,od_pair,o_sindex,d_sindex,within_OD_path_no,path_id,activity_zone_sequence,activity_agent_type_sequence,information_type,agent_type,demand_period,volume_before_odme,volume,volume_diff_odme,simu_volume,subarea_flag,OD_impact_flag,at_OD_impact_flag,path_impact_flag,toll,#_of_nodes,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,distance_mile,node_sequence,link_sequence, geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence
,1,1,2,0,1,1->2,0,1,,,0,p,AM,-1,347.31,0,0,1,0,0,0,0,4,0,0.0034,0.0034,0.0033,0.0021,1;547;548;2;,1;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.687499 42.012551, -87.699402 42.003548)",,,,
,2,1,3,0,2,1->3,0,1,,,0,p,AM,-1,390.81,0,0,1,0,0,0,0,4,0,0.0048,0.0048,0.0044,0.0027,1;547;549;3;,1;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.652966 41.986440, -87.664871 41.977436)",,,,
,3,1,4,0,3,1->4,0,1,,,0,p,AM,-1,204.51,0,0,1,0,0,0,0,5,0,0.0067,0.0067,0.006,0.0037,1;547;549;550;4;,1;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.652966 41.986440, -87.677973 41.972935, -87.689873 41.963932)",,,,
,4,1,5,0,4,1->5,0,1,,,0,p,AM,-1,373.73,0,0,1,0,0,0,0,5,0,0.008,0.008,0.0075,0.0047,1;547;549;551;5;,1;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.652966 41.986440, -87.641058 41.941422, -87.652962 41.932419)",,,,
,5,1,6,0,5,1->6,0,1,,,0,p,AM,-1,199.7,0,0,1,0,0,0,0,5,0,0.0062,0.0062,0.0058,0.0036,1;547;548;552;6;,1;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.687499 42.012551, -87.731559 41.999045, -87.743462 41.990040)",,,,
,6,1,7,0,6,1->7,0,1,,,0,p,AM,-1,119.69,0,0,1,0,0,0,0,6,0,0.0089,0.0089,0.0078,0.0048,1;547;549;550;553;7;,1;76;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.652966 41.986440, -87.677973 41.972935, -87.713697 41.969333, -87.725601 41.960327)",,,,
,7,1,8,0,7,1->8,0,1,,,0,p,AM,-1,96.23,0,0,1,0,0,0,0,7,0,0.012,0.012,0.0088,0.0055,1;547;548;552;435;554;8;,1;76;76;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.687499 42.012551, -87.731559 41.999045, -87.754184 41.990042, -87.787527 41.996344, -87.799431 41.987339)",,,,
,8,1,9,0,8,1->9,0,1,,,0,p,AM,-1,39.53,0,0,1,0,0,0,0,9,0,0.015,0.015,0.0118,0.0073,1;547;548;552;435;554;625;555;9;,1;76;76;76;76;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.687499 42.012551, -87.731559 41.999045, -87.754184 41.990042, -87.787527 41.996344, -87.807770 41.973835, -87.810152 41.957629, -87.822052 41.948624)",,,,
,9,1,10,0,9,1->10,0,1,,,0,p,AM,-1,75.72,0,0,1,0,0,0,0,8,0,0.0117,0.0117,0.0103,0.0064,1;547;549;550;553;496;556;10;,1;76;76;76;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.652966 41.986440, -87.677973 41.972935, -87.713697 41.969333, -87.735131 41.954928, -87.751803 41.947725, -87.763702 41.938721)",,,,
,10,1,11,0,10,1->11,0,1,,,0,p,AM,-1,24.02,0,0,1,0,0,0,0,8,0,0.0173,0.0173,0.0124,0.0077,1;547;549;550;560;558;557;11;,1;76;76;76;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.652966 41.986440, -87.677973 41.972935, -87.701789 41.938721, -87.713697 41.910810, -87.749421 41.905407, -87.761322 41.896404)",,,,
,11,1,12,0,11,1->12,0,1,,,0,p,AM,-1,27.71,0,0,1,0,0,0,0,7,0,0.0149,0.0149,0.0106,0.0066,1;547;549;550;560;558;12;,1;76;76;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.652966 41.986440, -87.677973 41.972935, -87.701789 41.938721, -87.713697 41.910810, -87.725601 41.901806)",,,,
,12,1,13,0,12,1->13,0,1,,,0,p,AM,-1,32.98,0,0,1,0,0,0,0,9,0,0.0182,0.0182,0.0139,0.0086,1;547;549;550;560;558;491;559;13;,1;76;76;76;76;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.652966 41.986440, -87.677973 41.972935, -87.701789 41.938721, -87.713697 41.910810, -87.720842 41.876596, -87.707743 41.881097, -87.719643 41.872093)",,,,
,13,1,14,0,13,1->14,0,1,,,0,p,AM,-1,124.31,0,0,1,0,0,0,0,6,0,0.0102,0.0102,0.0086,0.0053,1;547;549;550;560;14;,1;76;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.652966 41.986440, -87.677973 41.972935, -87.701789 41.938721, -87.713692 41.929718)",,,,
,14,1,15,0,14,1->15,0,1,,,0,p,AM,-1,72.66,0,0,1,0,0,0,0,7,0,0.0128,0.0128,0.011,0.0069,1;547;549;550;560;561;15;,1;76;76;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.652966 41.986440, -87.677973 41.972935, -87.701789 41.938721, -87.668447 41.912610, -87.680351 41.903606)",,,,
,15,1,16,0,15,1->16,0,1,,,0,p,AM,-1,124.83,0,0,1,0,0,0,0,7,1.4,1.4362,1.4362,0.0121,0.0075,1;547;549;551;563;562;16;,1;76;76;76;76;76;,"LINESTRING (-87.675591 42.011650, -87.663683 42.020654, -87.652966 41.986440, -87.641058 41.941422, -87.625578 41.910810, -87.656539 41.884699, -87.668442 41.875694)",,,,
