service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,0,20191214,20201211
2,0,0,0,0,0,0,1,20191215,20201213
3,1,1,1,1,1,0,0,20191216,20201211
4,0,0,0,0,0,0,1,20181216,20201213
5,0,0,0,0,0,1,0,20191214,20201212
6,1,1,1,1,1,1,0,20191215,20201211
7,1,1,1,1,1,1,0,20191216,20201211
8,1,1,1,1,1,1,0,20191214,20201214
9,1,1,1,1,1,1,0,20191214,20201219
10,1,1,1,1,1,1,0,20191214,20201215
11,1,1,1,1,1,1,0,20191213,20201211
12,0,0,0,0,0,0,1,20191214,20201211
13,1,1,1,1,1,1,0,20191214,20201211
14,1,1,1,1,1,1,0,20191214,20201213
15,0,0,0,0,0,0,1,20191214,20201213
16,0,0,0,0,0,0,1,20190914,20201211
17,1,1,1,1,1,1,0,20191215,20201213
18,0,0,0,0,0,0,1,20191215,20201211
19,1,1,1,1,1,0,0,20191215,20201211
20,0,0,0,0,0,1,0,20191215,20201211
21,0,0,0,0,0,0,1,20191216,20201211
22,1,1,1,1,1,1,0,20191215,20201216
23,0,0,0,0,0,0,1,20191216,20201214
24,1,1,1,1,1,1,0,20191219,20201214
25,1,1,1,1,1,0,0,20191215,20201213
26,0,0,0,0,0,0,1,20191215,20201214
27,0,0,0,0,0,0,1,20191214,20201216
28,0,0,0,0,0,0,1,20191214,20201215
29,0,0,0,0,0,0,1,20191214,20201214
30,0,0,0,0,0,0,1,20191214,20201220
31,0,0,0,0,0,0,1,20191215,20201220
32,1,1,1,1,1,1,0,20191215,20201214
33,0,0,0,0,0,0,1,20191216,20201216
34,0,0,0,0,0,0,1,20191216,20201215
35,1,1,1,1,1,1,0,20191221,20201214
36,1,1,1,1,1,1,0,20191216,20201216
37,0,0,0,0,0,0,1,20191219,20201214
38,0,0,0,0,0,0,1,20191209,20201214
39,0,0,0,0,0,0,1,20191212,20201212
40,1,1,1,1,1,0,0,20200727,20200928
41,1,1,1,1,1,1,0,20200725,20200928
42,0,0,0,0,0,0,1,20200726,20200927
43,1,1,1,1,1,0,0,20200801,20200928
44,0,0,0,0,0,0,1,20200802,20200927
45,1,1,1,1,1,0,0,20200803,20200928
46,1,1,1,1,1,1,0,20200801,20200928
47,1,0,0,0,1,1,0,20200801,20200928
48,1,1,1,1,1,0,0,20200901,20201222
49,1,1,1,1,1,0,0,20200901,20200930
50,1,1,1,1,1,1,0,20201001,20201222
51,0,0,0,0,0,0,1,20200712,20201220
52,1,1,1,1,1,1,0,20200901,20201222
53,1,1,1,1,1,1,0,20200706,20200930
54,0,0,0,0,0,0,1,20200712,20200927
55,1,1,1,1,1,0,0,20201001,20201222
56,0,0,0,0,0,0,1,20200713,20201220
57,0,0,0,0,0,0,1,20200405,20201220
58,0,0,0,0,0,1,0,20200509,20200926
59,0,0,0,0,0,0,1,20200621,20201220
