agent_type =, p, real time info flag = 0
agent_type =, dms, real time info flag = 2
, number of activity nodes defined in node.csv=, 41
, number of boundary activity nodes defined in node.csv=, 0
Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,190
,# of links =,378
,# of zones =,41
,summary by multi-modal and demand types,demand_period,agent_type,# of links,avg_free_speed_mph,avg_free_speed_kmph,total_length_in_km,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,AM,p,378,45.8893,73.8514,507.903,8.29724e+06,3526.78,1343.66,
,,AM,dms,378,45.8893,73.8514,507.903,8.29724e+06,3526.78,1343.66,
,summary by road link type,link_type,link_type_name,# of links,avg_free_speed_mph,avg_free_speed_kmph,,total_length,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,-1,,0,0,0,0,0,0,0,
,,1,,264,51.1907,82.3832,159.822,317242,731.523,605.385,
,,2,,114,33.6123,54.0936,348.081,7.98e+06,10000,3053.34,
,,3,,0,0,0,0,0,0,0,
,,4,,0,0,0,0,0,0,0,
,,5,,0,0,0,0,0,0,0,
,,20,,0,0,0,0,0,0,0,
,,99,,0,0,0,0,0,0,0,
[real_time_info] 
,info_updating_freq_in_min= 5 min
,visual_distance_in_cells= 5 cells
, # of demand side records in demand_side_scenario.csv=,0,
Step 2.1: read demand, defined in [demand_file_list] in settings.csv.
,o_zone_id,d_zone_id,inside_flag_from,inside_flag_to,volume
,file_sequence_no=,1,file_name =, demand.csv,demand_period =, AM,departure_time_profile_no=,0,cumulative demand =, 12643.1
,o_zone_id,d_zone_id,inside_flag_from,inside_flag_to,volume
,file_sequence_no=,2,file_name =, demand.csv,demand_period =, AM,departure_time_profile_no=,0,cumulative demand =, 25286.2
,total demand =, 25286.2
,from_flag,to_flag,volume
,from_flag,to_flag,volume
,0=not related, 1=signficiantly related external but not in cutoff, 2= cut-off external, 3= inside
,0,1,2,3,
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,50572.4
,top 10 OD,rank,o,d,inside_flag_o,inside_flag_d,agent_type,departure_time,volume
,,1,3,11,3,3,dms,AM,135.59
,,2,3,11,3,3,p,AM,135.59
,,3,3,41,3,3,dms,AM,134.267
,,4,3,41,3,3,p,AM,134.267
,,5,3,24,3,3,p,AM,102.016
,,6,3,24,3,3,dms,AM,102.016
,,7,3,9,3,3,dms,AM,101.598
,,8,3,9,3,3,p,AM,101.598
,,9,1,11,3,3,dms,AM,89.7928
,,10,1,11,3,3,p,AM,89.7928
,,11,1,41,3,3,dms,AM,88.9161
,,12,1,41,3,3,p,AM,88.9161
,,13,3,14,3,3,p,AM,84.3894
,,14,3,14,3,3,dms,AM,84.3894
,,15,3,21,3,3,p,AM,77.8576
,,16,3,21,3,3,dms,AM,77.8576
,,17,3,13,3,3,dms,AM,68.788
,,18,3,13,3,3,p,AM,68.788
,,19,3,34,3,3,dms,AM,68.6745
,,20,3,34,3,3,p,AM,68.6745
,,21,17,11,3,3,p,AM,68.1649
,,22,17,11,3,3,dms,AM,68.1649
,,23,1,24,3,3,dms,AM,67.5584
,,24,1,24,3,3,p,AM,67.5584
,,25,17,41,3,3,p,AM,67.4994
,,26,17,41,3,3,dms,AM,67.4994
,,27,1,9,3,3,p,AM,67.282
,,28,1,9,3,3,dms,AM,67.282
,,29,2,11,3,3,dms,AM,67.2406
,,30,2,11,3,3,p,AM,67.2406
,,31,2,41,3,3,p,AM,66.5841
,,32,2,41,3,3,dms,AM,66.5841
,,33,6,11,3,3,p,AM,62.1571
,,34,6,11,3,3,dms,AM,62.1571
,,35,6,41,3,3,dms,AM,61.5503
,,36,6,41,3,3,p,AM,61.5503
,,37,1,14,3,3,dms,AM,55.8857
,,38,1,14,3,3,p,AM,55.8857
,,39,1,21,3,3,p,AM,51.5601
,,40,1,21,3,3,dms,AM,51.5601
,,41,17,24,3,3,dms,AM,51.286
,,42,17,24,3,3,p,AM,51.286
,,43,34,11,3,3,p,AM,51.2045
,,44,34,11,3,3,dms,AM,51.2045
,,45,17,9,3,3,p,AM,51.0761
,,46,17,9,3,3,dms,AM,51.0761
