link_id,name,from_node_id,to_node_id,service_type,length,lanes,free_speed,capacity,link_type,geometry
1,null,1,2,0,18,1,6,1900,1,
2,null,2,3,-1,0.3,1,6,1900,1,
3,null,2,4,1,1,1,6,1900,1,
4,null,3,5,0,2,1,6,1900,1,
5,null,4,6,-1,1,1,6,1900,1,
6,null,5,6,1,0.3,1,6,1900,1,
7,null,6,7,0,20,1,6,1900,1,
8,null,7,8,0,18,1,6,1900,1,
9,null,8,9,-1,1,1,6,1900,1,
10,null,8,10,1,0.3,1,6,1900,1,
11,null,10,11,0,2,1,6,1900,1,
12,null,9,12,0,1,1,6,1900,1,
13,null,11,12,-1,0.3,1,6,1900,1,
14,null,12,13,1,20,1,6,1900,1,
